location,interval,priority
1012,420,high
1013,420,high
1019,420,high
1029,420,high
1039,420,high
1059,420,high
1109,600,low
1112,420,high
1113,420,high
1119,420,high
1121,420,high
1129,420,high
1139,420,high
1211,420,high
1219,420,high
1229,420,high
1231,600,low
1239,420,high
1311,420,high
1319,420,high
1329,420,high
1339,420,high
1341,420,high
1349,600,low
1411,420,high
1419,600,low
1421,420,high
1429,600,low
1511,420,high
1519,420,high
1521,420,high
1529,420,high
1541,600,low
1549,600,low
1559,600,low
1611,420,high
1619,420,high
1621,420,high
1629,420,high
1631,600,low
1639,600,low
2029,420,high
2049,420,high
2051,420,high
2061,420,high
2089,420,high
2101,420,high
2111,420,high
2119,420,high
2141,600,low
2149,420,high
2151,420,high
2159,420,high
2161,420,high
2169,600,low
2171,420,high
2181,420,high
3011,420,high
3019,420,high
3021,420,high
3031,420,high
3041,600,low
3059,420,high
3071,420,high
3111,420,high
3129,420,high
3151,420,high
3217,420,high
3218,420,high
3222,420,high
3223,420,high
3239,420,high
3331,600,low
3339,600,low
3341,600,low
3349,600,low
3361,600,low
3369,600,low
3371,600,low
3381,420,high
3391,420,high
3411,600,low
3419,600,low
3421,600,low
3501,420,high
3509,420,high
3511,420,high
3519,420,high
3529,420,high
3539,420,high
3549,600,low
3579,600,low
4019,420,high
4029,420,high
4111,420,high
4121,420,high
4142,420,high
4143,420,high
4149,420,high
4151,420,high
4159,420,high
4167,420,high
4168,420,high
4179,420,high
4211,420,high
4219,420,high
4222,420,high
4223,420,high
4229,420,high
4239,420,high
4249,420,high
4251,420,high
4311,420,high
4321,420,high
4329,420,high
4331,420,high
4339,420,high
5012,420,high
5013,420,high
5019,420,high
5022,420,high
5023,420,high
5029,420,high
5039,420,high
5049,420,high
5059,420,high
5069,420,high
5129,600,low
5131,420,high
5189,420,high
5199,420,high
5239,420,high
5241,600,low
5259,420,high
5269,600,low
5271,600,low
5319,600,low
5411,600,low
5419,600,low
5421,600,low
5429,600,low
5431,600,low
5519,420,high
5521,420,high
5539,420,high
5629,420,high
5631,420,high
5641,420,high
5649,420,high
5651,600,low
6011,420,high
6029,420,high
6031,600,low
6039,600,low
6049,420,high
6051,420,high
6069,420,high
6071,420,high
6081,420,high
6129,420,high
6131,420,high
6141,420,high
6149,420,high
6151,420,high
6159,420,high
6161,420,high
6169,420,high
6171,420,high
6189,420,high
7011,420,high
7021,420,high
7031,420,high
7111,420,high
7211,420,high
7221,420,high
7231,420,high
7241,600,low
7249,420,high
7319,420,high
7329,420,high
7331,600,low
7351,420,high
7359,420,high
7361,420,high
7369,420,high
7371,420,high
7379,420,high
7419,420,high
7517,420,high
7518,420,high
7529,420,high
7531,420,high
7539,420,high
7551,420,high
7561,600,low
7569,600,low
7571,600,low
7589,420,high
8011,420,high
8019,420,high
8031,420,high
8041,420,high
8057,420,high
8058,420,high
8069,420,high
8079,420,high
8111,420,high
8121,420,high
8137,600,low
8138,420,high
9011,420,high
9022,420,high
9023,420,high
9037,420,high
9038,420,high
9047,420,high
9048,420,high
9059,420,high
9111,420,high
9121,420,high
9131,420,high
9139,600,low
9141,420,high
9149,420,high
9159,420,high
9169,420,high
9179,420,high
9191,420,high
9212,420,high
9213,420,high
9219,420,high
10009,420,high
10011,420,high
10017,420,high
10018,420,high
10021,420,high
10041,420,high
10049,420,high
10051,420,high
10059,420,high
10061,420,high
10069,420,high
10071,420,high
10079,420,high
10081,420,high
10089,420,high
10091,420,high
10099,420,high
10101,420,high
10109,420,high
10111,420,high
10119,420,high
10121,600,low
10129,600,low
10131,420,high
10139,420,high
10141,420,high
10149,420,high
10151,420,high
10161,420,high
10169,420,high
10171,420,high
10179,420,high
10181,420,high
10189,420,high
10191,420,high
10199,420,high
10201,420,high
10209,420,high
10211,600,low
10219,600,low
10221,420,high
10229,420,high
10231,420,high
10239,420,high
10241,420,high
10249,420,high
10261,420,high
10269,420,high
10271,420,high
10279,420,high
10281,420,high
10287,420,high
10289,420,high
10291,420,high
10299,420,high
10321,420,high
10329,420,high
10331,420,high
10339,420,high
10341,420,high
10349,420,high
10351,420,high
10359,420,high
10361,420,high
10369,420,high
10371,420,high
10379,420,high
10381,420,high
10389,420,high
10391,420,high
10399,420,high
10401,600,low
10409,600,low
10411,600,low
10419,600,low
10421,600,low
10429,600,low
10431,600,low
10439,600,low
10441,600,low
10449,600,low
10451,600,low
10459,600,low
10461,600,low
10469,600,low
10471,600,low
10479,600,low
10481,600,low
10489,600,low
10499,420,high
10501,420,high
10519,420,high
10599,600,low
10651,420,high
10659,420,high
11001,420,high
11009,420,high
11019,420,high
11021,420,high
11029,420,high
11031,420,high
11039,420,high
11041,420,high
11049,420,high
11051,420,high
11059,420,high
11061,420,high
11069,420,high
11071,420,high
11079,420,high
11081,420,high
11089,420,high
11091,420,high
11099,420,high
11101,420,high
11109,420,high
11111,420,high
11119,420,high
11131,420,high
11139,420,high
11141,420,high
11149,420,high
11151,420,high
11159,420,high
11161,420,high
11169,420,high
11171,420,high
11179,420,high
11181,420,high
11189,420,high
11191,420,high
11199,420,high
11201,420,high
11209,420,high
11211,420,high
11219,420,high
11221,420,high
11229,420,high
11231,420,high
11239,420,high
11259,600,low
11261,420,high
11269,420,high
11271,420,high
11279,420,high
11281,420,high
11289,420,high
11291,420,high
11299,420,high
11301,420,high
11309,420,high
11311,420,high
11319,420,high
11321,420,high
11329,420,high
11331,420,high
11339,420,high
11341,420,high
11349,420,high
11351,420,high
11359,420,high
11361,420,high
11369,420,high
11379,420,high
11381,420,high
11389,420,high
11401,420,high
11409,420,high
11419,420,high
11429,420,high
11439,420,high
11441,600,low
11449,600,low
11451,600,low
11459,600,low
11469,600,low
11471,600,low
11481,600,low
11489,600,low
11491,600,low
11499,600,low
11511,420,high
11519,420,high
11521,420,high
11529,420,high
11531,420,high
11539,420,high
11541,600,low
11551,600,low
11561,600,low
11579,600,low
11589,600,low
11599,600,low
11609,600,low
12021,420,high
12029,420,high
12031,420,high
12039,420,high
12041,420,high
12049,420,high
12051,420,high
12059,420,high
12061,420,high
12069,420,high
12071,420,high
12079,420,high
12081,420,high
12089,420,high
12091,420,high
12099,420,high
12101,420,high
12109,420,high
12111,420,high
12119,420,high
12121,420,high
12129,600,low
12131,600,low
12139,600,low
12141,600,low
12149,600,low
12151,600,low
12169,600,low
12179,600,low
12189,600,low
12199,600,low
12201,600,low
12209,600,low
12211,600,low
13011,420,high
13019,420,high
13021,420,high
13029,420,high
13031,600,low
13039,600,low
13041,600,low
13049,600,low
13051,420,high
13059,420,high
13062,420,high
13063,600,low
13069,420,high
13071,420,high
13079,420,high
13081,420,high
13089,420,high
13091,420,high
13099,420,high
13101,420,high
13109,420,high
13119,420,high
13121,420,high
13141,420,high
13159,420,high
13169,600,low
13171,600,low
13179,600,low
13181,600,low
13189,600,low
13191,420,high
13199,420,high
13201,600,low
13209,600,low
14209,420,high
14011,420,high
14019,420,high
14021,420,high
14029,420,high
14031,420,high
14039,420,high
14041,420,high
14049,420,high
14051,420,high
14059,420,high
14061,420,high
14069,420,high
14071,420,high
14081,420,high
14089,420,high
14101,420,high
14109,420,high
14119,420,high
14121,420,high
14129,420,high
14131,420,high
14139,420,high
14141,420,high
14151,420,high
14159,420,high
14161,420,high
14169,420,high
14171,420,high
14179,420,high
14189,420,high
14191,420,high
14199,420,high
14201,420,high
14209,420,high
14211,420,high
14219,420,high
14221,420,high
14229,420,high
14231,420,high
14239,420,high
14241,420,high
